"age","job","education","marital","default","housing","loan","y"
45,"administration","secondary","single","no","yes","no","no"
47,"services","secondary","divorced","no","no","no","no"
42,"technician","secondary","single","no","yes","no","no"
59,"administration","secondary","married","no","yes","no","yes"
46,"self_employed","tertiary","married","no","yes","yes","no"
51,"blue_collar","primary","married","no","yes","no","no"
56,"administration","secondary","married","no","no","no","yes"
41,"technician","secondary","married","no","yes","no","yes"
46,"management","secondary","divorced","no","yes","yes","no"
57,"retired","secondary","married","no","yes","no","no"
42,"management","secondary","single","no","no","no","no"
30,"technician","secondary","married","no","yes","yes","no"
60,"administration","secondary","married","no","yes","no","no"
57,"entrepreneur","secondary","divorced","no","no","no","no"
36,"management","tertiary","married","no","yes","yes","no"
55,"blue_collar","secondary","married","no","no","no","no"
60,"retired","tertiary","married","no","yes","no","no"
39,"technician","secondary","married","no","yes","no","no"
46,"management","tertiary","married","no","yes","no","no"
44,"blue_collar","secondary","married","no","yes","no","no"
53,"blue_collar","primary","married","no","no","no","no"
52,"blue_collar","primary","married","no","yes","no","no"
59,"blue_collar","primary","married","no","yes","no","no"
27,"technician","tertiary","single","no","yes","no","no"
44,"blue_collar","secondary","married","no","yes","no","no"
47,"technician","tertiary","married","no","yes","no","no"
34,"administration","secondary","married","no","no","yes","no"
59,"retired","secondary","single","no","yes","no","no"
45,"management","tertiary","married","no","yes","no","no"
29,"services","secondary","divorced","no","yes","no","no"
46,"technician","secondary","divorced","no","no","no","no"
56,"self_employed","primary","married","no","yes","yes","no"
36,"blue_collar","primary","married","no","yes","no","no"
59,"retired","primary","divorced","no","yes","no","no"
44,"blue_collar","secondary","married","no","yes","no","no"
41,"administration","secondary","married","no","yes","no","no"
33,"management","tertiary","single","no","yes","no","no"
59,"management","tertiary","divorced","no","no","no","no"
57,"technician","primary","married","no","no","no","no"
51,"blue_collar","secondary","married","no","yes","no","no"
43,"services","secondary","married","no","yes","yes","no"
52,"technician","tertiary","married","no","no","yes","no"
33,"technician","secondary","single","no","yes","no","no"
29,"administration","secondary","single","no","yes","yes","no"
34,"services","secondary","married","no","yes","yes","no"
31,"blue_collar","secondary","married","no","yes","no","no"
55,"services","secondary","married","no","yes","no","yes"
32,"administration","secondary","single","no","yes","no","no"
38,"technician","secondary","single","no","yes","no","no"
55,"administration","secondary","single","no","yes","yes","no"
28,"unemployed","tertiary","single","no","yes","no","no"
23,"blue_collar","secondary","married","no","yes","no","no"
32,"technician","secondary","single","no","yes","no","no"
32,"blue_collar","secondary","married","no","yes","no","no"
46,"blue_collar","secondary","married","no","yes","no","no"
53,"housemaid","primary","divorced","no","yes","no","no"
34,"self_employed","secondary","single","no","yes","no","no"
57,"unemployed","tertiary","married","no","no","no","no"
37,"blue_collar","secondary","married","no","yes","no","no"
59,"blue_collar","secondary","married","no","yes","no","no"
33,"services","secondary","married","no","yes","no","no"
56,"blue_collar","primary","divorced","no","yes","no","no"
48,"unemployed","secondary","married","no","yes","no","no"
43,"services","primary","married","no","yes","no","no"
54,"blue_collar","primary","married","no","yes","no","no"
26,"student","secondary","single","no","yes","no","no"
40,"management","tertiary","married","no","yes","no","no"
39,"management","secondary","married","no","yes","no","no"
50,"technician","primary","married","no","no","no","no"
41,"services","secondary","married","no","yes","no","no"
60,"retired","secondary","divorced","no","yes","no","no"
52,"blue_collar","secondary","married","no","yes","no","no"
48,"blue_collar","secondary","married","no","yes","no","no"
39,"technician","tertiary","single","no","yes","no","no"
47,"services","secondary","single","no","yes","no","no"
40,"blue_collar","secondary","married","no","yes","no","no"
45,"technician","secondary","married","no","yes","no","no"
26,"administration","secondary","single","no","yes","no","no"
52,"management","tertiary","married","no","yes","no","no"
54,"technician","secondary","married","no","yes","no","no"
54,"administration","tertiary","married","no","no","no","yes"
50,"blue_collar","primary","married","no","no","no","no"
35,"blue_collar","secondary","married","no","yes","no","no"
44,"services","secondary","married","no","yes","yes","no"
35,"retired","primary","single","no","no","no","no"
60,"administration","secondary","divorced","no","yes","no","no"
53,"administration","secondary","divorced","no","yes","no","no"
48,"unemployed","secondary","married","no","yes","no","no"
34,"technician","secondary","married","no","yes","no","no"
54,"services","secondary","married","no","yes","no","no"
51,"management","secondary","married","no","yes","no","no"
31,"services","tertiary","married","no","yes","no","no"
35,"technician","secondary","divorced","no","yes","no","no"
35,"services","secondary","married","no","yes","no","no"
38,"technician","secondary","married","no","yes","no","no"
36,"administration","tertiary","married","no","yes","no","no"
58,"retired","primary","married","no","yes","no","no"
54,"management","secondary","married","no","no","no","no"
34,"blue_collar","secondary","single","no","yes","yes","no"
31,"management","tertiary","single","no","yes","no","no"
51,"retired","secondary","married","no","yes","no","no"
33,"management","tertiary","married","no","yes","no","no"
55,"management","tertiary","married","no","yes","no","no"
42,"administration","secondary","married","no","yes","no","no"
34,"blue_collar","secondary","married","no","yes","no","no"
33,"blue_collar","secondary","single","no","yes","no","no"
38,"services","secondary","married","no","yes","no","no"
50,"technician","tertiary","divorced","no","no","yes","no"
43,"management","tertiary","married","no","yes","no","no"
61,"blue_collar","primary","divorced","no","yes","no","no"
47,"administration","secondary","married","no","yes","no","no"
48,"self_employed","tertiary","married","no","yes","no","no"
44,"blue_collar","secondary","married","no","yes","no","no"
35,"services","secondary","married","no","yes","no","no"
50,"services","secondary","married","no","yes","no","no"
41,"management","tertiary","married","no","yes","yes","no"
41,"management","tertiary","married","no","yes","no","no"
42,"retired","secondary","married","no","yes","no","no"
38,"blue_collar","secondary","married","no","yes","no","no"
53,"retired","secondary","married","no","yes","no","no"
59,"housemaid","primary","divorced","no","no","no","no"
36,"services","secondary","married","no","yes","no","no"
54,"blue_collar","primary","married","no","yes","no","no"
40,"technician","tertiary","married","no","yes","no","no"
46,"housemaid","primary","married","no","no","no","no"
39,"management","tertiary","married","no","yes","yes","no"
40,"unemployed","secondary","married","no","yes","no","no"
28,"blue_collar","primary","married","no","yes","no","no"
35,"entrepreneur","secondary","divorced","no","yes","no","no"
55,"retired","secondary","married","no","no","yes","no"
48,"blue_collar","primary","married","no","yes","no","no"
33,"management","tertiary","single","no","yes","no","no"
53,"services","secondary","divorced","no","yes","no","no"
47,"blue_collar","primary","married","no","yes","no","no"
31,"services","secondary","married","no","yes","no","no"
57,"entrepreneur","secondary","married","no","yes","no","no"
55,"blue_collar","primary","married","no","yes","no","no"
45,"blue_collar","primary","married","no","yes","no","no"
53,"administration","secondary","divorced","no","yes","no","no"
37,"blue_collar","primary","married","no","yes","no","no"
44,"administration","secondary","divorced","no","yes","no","no"
49,"blue_collar","primary","divorced","no","yes","yes","no"
46,"technician","secondary","married","no","yes","yes","no"
38,"administration","secondary","married","no","no","no","no"
43,"technician","secondary","married","no","yes","no","no"
49,"management","tertiary","married","no","yes","no","no"
22,"blue_collar","secondary","single","no","yes","no","no"
40,"management","tertiary","married","no","yes","no","no"
39,"blue_collar","secondary","married","no","yes","no","no"
51,"services","secondary","married","no","yes","no","no"
49,"administration","secondary","married","no","yes","no","no"
53,"blue_collar","secondary","married","no","yes","yes","no"
34,"services","secondary","single","no","yes","no","no"
33,"technician","secondary","divorced","no","yes","no","no"
50,"management","tertiary","single","no","yes","no","no"
39,"blue_collar","primary","married","no","yes","no","no"
59,"entrepreneur","secondary","divorced","no","yes","no","no"
30,"technician","secondary","single","no","yes","no","no"
36,"services","secondary","married","no","yes","yes","no"
40,"blue_collar","secondary","married","no","yes","no","no"
53,"blue_collar","secondary","married","no","yes","no","no"
34,"management","tertiary","single","no","yes","no","no"
37,"technician","secondary","married","no","yes","no","no"
42,"management","tertiary","divorced","no","yes","no","no"
41,"entrepreneur","primary","married","no","yes","no","no"
30,"student","tertiary","single","no","yes","no","no"
37,"management","tertiary","single","no","yes","no","no"
39,"administration","secondary","divorced","no","yes","no","no"
41,"blue_collar","primary","married","no","yes","yes","no"
40,"blue_collar","primary","married","no","yes","no","no"
42,"management","tertiary","single","no","yes","yes","yes"
40,"blue_collar","primary","divorced","no","yes","no","no"
57,"technician","secondary","married","no","yes","no","no"
56,"entrepreneur","secondary","divorced","no","no","no","no"
37,"administration","secondary","married","no","yes","no","no"
59,"retired","secondary","married","no","yes","no","no"
39,"services","secondary","divorced","no","yes","no","no"
49,"services","secondary","married","no","no","no","no"
38,"services","secondary","single","no","yes","no","no"
36,"self_employed","tertiary","married","no","no","no","no"
50,"blue_collar","primary","married","no","yes","no","no"
41,"administration","secondary","married","no","yes","yes","no"
54,"technician","tertiary","married","no","no","no","no"
58,"blue_collar","primary","married","no","yes","no","no"
30,"blue_collar","secondary","single","no","yes","no","no"
33,"administration","secondary","single","no","yes","no","no"
47,"administration","secondary","married","no","yes","no","no"
50,"technician","tertiary","single","no","yes","no","no"
32,"blue_collar","secondary","married","no","yes","no","no"
40,"self_employed","secondary","married","no","yes","no","no"
37,"management","tertiary","married","no","yes","no","no"
24,"student","secondary","single","no","yes","no","no"
54,"management","tertiary","married","no","no","no","no"
34,"technician","secondary","married","no","yes","no","no"
56,"technician","primary","divorced","no","yes","no","no"
31,"blue_collar","secondary","single","no","yes","no","no"
24,"student","secondary","single","no","yes","no","no"
42,"blue_collar","primary","divorced","no","yes","no","no"
57,"technician","secondary","married","no","yes","no","no"
51,"administration","secondary","married","no","yes","no","no"
57,"retired","secondary","married","no","yes","no","no"
36,"services","secondary","single","no","yes","no","no"
50,"technician","secondary","married","no","yes","no","no"
54,"management","tertiary","married","no","yes","no","no"
55,"blue_collar","secondary","married","no","yes","no","no"
44,"blue_collar","secondary","married","no","yes","yes","no"
56,"administration","secondary","married","no","yes","no","no"
55,"services","primary","divorced","no","yes","yes","no"
37,"services","secondary","divorced","no","yes","yes","no"
33,"administration","tertiary","single","no","no","no","no"
46,"administration","secondary","married","no","yes","no","no"
36,"blue_collar","secondary","married","no","yes","yes","no"
51,"technician","secondary","single","no","yes","no","no"
40,"retired","primary","single","no","no","no","no"
42,"blue_collar","secondary","married","no","yes","no","no"
51,"blue_collar","secondary","married","no","yes","no","no"
48,"management","secondary","married","no","yes","no","no"
32,"technician","tertiary","divorced","no","no","no","no"
31,"administration","secondary","single","no","yes","no","no"
55,"management","tertiary","single","no","no","no","no"
40,"blue_collar","secondary","single","no","yes","no","no"
47,"technician","tertiary","married","no","yes","no","no"
41,"blue_collar","secondary","married","no","yes","no","no"
48,"blue_collar","secondary","married","no","no","no","no"
30,"blue_collar","secondary","single","no","yes","no","no"
58,"management","tertiary","single","no","yes","no","no"
45,"management","tertiary","divorced","no","yes","no","no"
49,"blue_collar","secondary","married","no","yes","no","no"
42,"administration","secondary","single","no","yes","no","no"
53,"technician","secondary","married","no","yes","yes","no"
51,"administration","secondary","single","yes","no","no","no"
32,"services","secondary","single","no","yes","no","no"
41,"blue_collar","secondary","single","no","yes","no","no"
43,"management","secondary","divorced","no","yes","no","no"
40,"blue_collar","secondary","divorced","no","yes","no","no"
50,"blue_collar","primary","married","no","yes","no","no"
34,"management","tertiary","married","no","yes","no","no"
45,"technician","secondary","married","no","yes","no","no"
39,"blue_collar","primary","married","no","yes","no","no"
44,"services","tertiary","married","no","yes","no","no"
55,"management","tertiary","married","no","yes","no","no"
46,"management","tertiary","single","no","yes","no","no"
45,"blue_collar","secondary","married","no","yes","no","no"
34,"administration","secondary","married","no","yes","no","no"
36,"blue_collar","secondary","married","no","yes","no","no"
31,"administration","secondary","single","no","yes","no","no"
44,"blue_collar","secondary","single","no","yes","no","no"
33,"entrepreneur","tertiary","single","no","yes","no","no"
40,"blue_collar","secondary","married","no","yes","no","no"
46,"administration","tertiary","single","no","yes","no","no"
48,"management","tertiary","married","no","yes","no","no"
42,"services","secondary","married","no","yes","no","no"
27,"services","secondary","married","no","yes","no","no"
48,"administration","secondary","married","no","yes","yes","no"
59,"administration","secondary","married","no","yes","no","no"
46,"technician","tertiary","married","no","yes","no","no"
38,"administration","secondary","divorced","no","yes","no","no"
43,"management","tertiary","divorced","no","yes","no","no"
38,"administration","tertiary","divorced","no","yes","no","no"
23,"student","secondary","single","no","yes","no","no"
34,"services","secondary","married","no","yes","no","no"
38,"administration","secondary","married","no","yes","yes","no"
37,"blue_collar","secondary","married","no","no","no","no"
25,"administration","secondary","single","no","yes","no","no"
49,"blue_collar","secondary","single","no","yes","no","no"
38,"administration","secondary","single","no","no","no","no"
43,"blue_collar","primary","married","no","yes","no","no"
33,"management","tertiary","married","no","yes","no","no"
55,"blue_collar","secondary","married","no","yes","no","no"
38,"blue_collar","secondary","married","no","yes","no","no"
49,"services","secondary","married","no","yes","yes","no"
40,"management","secondary","married","no","no","no","no"
38,"blue_collar","secondary","married","no","yes","no","no"
58,"services","secondary","married","no","yes","yes","no"
32,"unemployed","secondary","married","no","yes","no","no"
56,"management","tertiary","married","no","yes","yes","yes"
60,"retired","secondary","divorced","no","yes","no","yes"
37,"technician","tertiary","married","no","yes","no","no"
46,"technician","tertiary","divorced","no","yes","no","no"
27,"administration","secondary","married","no","yes","no","no"
43,"blue_collar","secondary","married","no","yes","no","no"
32,"technician","secondary","single","no","yes","yes","no"
40,"administration","secondary","single","no","yes","no","no"
38,"administration","secondary","married","no","no","no","no"
34,"blue_collar","secondary","married","no","no","yes","no"
47,"blue_collar","primary","married","no","yes","no","no"
42,"housemaid","primary","married","no","yes","no","no"
48,"technician","secondary","married","no","yes","yes","no"
29,"self_employed","tertiary","single","no","yes","no","no"
50,"services","secondary","married","no","yes","no","no"
50,"management","tertiary","married","no","no","no","no"
58,"retired","tertiary","married","no","no","no","no"
46,"blue_collar","primary","divorced","no","yes","no","no"
38,"technician","secondary","married","no","yes","no","no"
46,"blue_collar","secondary","married","no","yes","no","no"
32,"services","secondary","single","no","yes","no","no"
51,"blue_collar","primary","married","no","yes","no","no"
39,"administration","secondary","single","no","yes","no","no"
48,"administration","secondary","married","no","yes","no","no"
36,"entrepreneur","tertiary","married","no","yes","no","no"
34,"administration","secondary","divorced","no","yes","no","no"
40,"technician","secondary","married","no","no","no","no"
43,"unemployed","secondary","married","no","yes","no","no"
52,"blue_collar","primary","divorced","no","yes","yes","no"
33,"technician","secondary","married","yes","yes","no","no"
49,"management","tertiary","single","no","yes","no","no"
32,"management","tertiary","single","no","yes","no","no"
39,"administration","secondary","single","no","yes","no","no"
40,"blue_collar","secondary","married","no","yes","no","no"
38,"technician","tertiary","single","no","yes","no","no"
43,"management","secondary","married","no","yes","no","no"
39,"services","secondary","married","no","yes","no","no"
54,"blue_collar","primary","married","no","yes","no","no"
38,"technician","tertiary","single","no","yes","no","no"
40,"blue_collar","secondary","married","no","yes","no","no"
55,"administration","secondary","married","no","yes","no","no"
42,"management","tertiary","married","no","yes","no","no"
39,"blue_collar","secondary","married","no","yes","no","no"
40,"blue_collar","primary","married","no","yes","no","no"
32,"blue_collar","secondary","married","no","yes","no","no"
55,"administration","secondary","married","no","yes","no","no"
45,"blue_collar","secondary","married","no","no","no","no"
35,"management","tertiary","single","no","yes","no","no"
58,"technician","secondary","divorced","no","no","no","no"
35,"administration","secondary","married","no","yes","no","no"
49,"services","primary","married","no","yes","no","no"
34,"technician","tertiary","single","no","yes","no","no"
36,"blue_collar","secondary","married","no","yes","no","no"
24,"self_employed","secondary","single","no","yes","no","no"
34,"technician","secondary","married","no","yes","no","no"
51,"administration","secondary","divorced","no","yes","no","no"
32,"services","secondary","single","no","yes","no","no"
50,"technician","secondary","married","no","yes","no","no"
40,"services","secondary","married","no","no","no","no"
37,"management","tertiary","married","no","yes","yes","no"
34,"blue_collar","secondary","married","no","yes","yes","no"
44,"blue_collar","secondary","married","no","yes","yes","no"
40,"administration","secondary","single","no","yes","yes","no"
37,"technician","secondary","married","no","yes","no","yes"
33,"blue_collar","secondary","single","yes","no","no","no"
35,"blue_collar","secondary","married","no","yes","no","no"
58,"blue_collar","secondary","divorced","no","no","no","no"
39,"blue_collar","primary","married","no","yes","no","no"
43,"blue_collar","secondary","married","no","yes","no","no"
39,"unemployed","primary","married","no","yes","no","no"
36,"services","primary","single","no","yes","no","no"
57,"retired","secondary","single","no","no","yes","no"
36,"administration","secondary","single","no","yes","no","no"
50,"blue_collar","primary","married","no","yes","no","no"
55,"blue_collar","secondary","married","no","yes","no","no"
44,"self_employed","tertiary","married","no","yes","no","no"
44,"services","secondary","divorced","no","yes","no","no"
39,"housemaid","primary","single","no","yes","no","no"
39,"blue_collar","secondary","married","no","yes","no","no"
34,"administration","secondary","married","no","no","no","yes"
40,"blue_collar","primary","married","no","yes","no","no"
50,"management","tertiary","married","no","yes","no","no"
31,"management","secondary","single","no","yes","no","no"
37,"administration","secondary","single","no","yes","no","no"
39,"management","secondary","single","no","yes","no","no"
51,"blue_collar","primary","married","no","yes","no","no"
41,"technician","secondary","married","no","yes","no","no"
41,"technician","secondary","married","no","yes","yes","no"
43,"blue_collar","secondary","married","no","no","no","no"
30,"services","secondary","single","no","yes","no","no"
54,"management","primary","divorced","no","no","no","no"
43,"blue_collar","secondary","divorced","no","yes","yes","no"
59,"management","tertiary","divorced","no","yes","yes","no"
40,"blue_collar","primary","married","no","yes","no","no"
32,"technician","secondary","married","no","yes","no","no"
29,"blue_collar","secondary","married","no","yes","no","no"
36,"blue_collar","secondary","married","no","yes","no","no"
55,"unemployed","tertiary","married","no","no","no","no"
30,"blue_collar","secondary","divorced","no","yes","no","no"
39,"administration","secondary","single","no","yes","no","no"
39,"blue_collar","secondary","divorced","no","yes","no","no"
50,"blue_collar","secondary","divorced","no","yes","no","no"
44,"blue_collar","secondary","married","no","yes","no","no"
37,"technician","secondary","single","no","yes","no","no"
46,"administration","primary","married","no","yes","yes","no"
37,"management","tertiary","single","no","yes","yes","no"
29,"blue_collar","secondary","married","no","yes","no","no"
41,"blue_collar","secondary","married","no","yes","no","no"
45,"blue_collar","primary","married","no","yes","no","no"
57,"retired","secondary","divorced","no","yes","no","no"
48,"blue_collar","secondary","single","no","yes","no","no"
60,"retired","secondary","married","yes","no","no","no"
26,"administration","secondary","single","no","yes","no","no"
58,"retired","secondary","married","no","yes","no","no"
34,"administration","secondary","married","no","yes","no","no"
55,"unemployed","secondary","divorced","no","yes","no","yes"
41,"blue_collar","primary","married","no","yes","yes","no"
50,"management","secondary","divorced","no","yes","no","no"
49,"entrepreneur","secondary","married","no","yes","yes","no"
44,"blue_collar","primary","married","no","yes","no","no"
31,"technician","secondary","married","no","yes","yes","no"
34,"blue_collar","tertiary","single","no","yes","no","no"
42,"management","tertiary","married","no","no","no","no"
52,"administration","secondary","married","no","yes","no","no"
29,"management","tertiary","single","no","yes","no","no"
53,"retired","primary","married","no","yes","no","no"
43,"blue_collar","secondary","married","no","yes","no","no"
38,"management","secondary","married","no","yes","no","no"
46,"management","tertiary","married","no","yes","no","no"
30,"administration","secondary","divorced","no","yes","yes","no"
44,"blue_collar","primary","married","no","no","no","no"
31,"housemaid","primary","married","no","yes","no","no"
42,"services","secondary","single","no","yes","no","no"
40,"management","tertiary","single","no","yes","no","no"
52,"administration","secondary","married","no","yes","no","no"
45,"blue_collar","secondary","divorced","no","yes","no","no"
48,"blue_collar","secondary","married","no","yes","no","no"
45,"blue_collar","primary","married","no","yes","no","no"
34,"blue_collar","primary","married","no","yes","no","no"
46,"blue_collar","secondary","married","no","yes","no","no"
49,"services","secondary","divorced","no","yes","no","no"
50,"technician","primary","married","no","yes","no","no"
34,"administration","secondary","single","no","yes","no","no"
40,"unemployed","secondary","single","no","yes","no","no"
36,"administration","secondary","married","no","yes","no","no"
45,"blue_collar","secondary","married","no","yes","no","no"
36,"self_employed","tertiary","married","no","yes","no","no"
56,"services","secondary","married","no","yes","no","no"
42,"services","secondary","divorced","no","yes","yes","no"
30,"administration","secondary","married","no","yes","no","no"
30,"student","tertiary","single","no","yes","no","no"
33,"blue_collar","secondary","married","no","yes","no","no"
36,"administration","secondary","married","no","yes","no","no"
39,"services","primary","divorced","no","yes","no","no"
56,"administration","secondary","divorced","no","yes","no","no"
42,"technician","secondary","married","no","yes","no","no"
52,"blue_collar","secondary","married","no","no","no","no"
36,"administration","secondary","divorced","no","yes","no","no"
35,"entrepreneur","secondary","married","yes","yes","no","no"
47,"technician","secondary","married","no","yes","no","no"
59,"services","secondary","divorced","no","yes","yes","no"
57,"blue_collar","primary","married","no","yes","yes","no"
46,"unemployed","secondary","married","no","yes","no","no"
34,"blue_collar","secondary","married","no","no","no","no"
28,"services","secondary","single","no","yes","no","yes"
56,"blue_collar","secondary","married","no","yes","no","no"
41,"blue_collar","primary","single","yes","yes","yes","no"
54,"services","secondary","married","no","no","no","no"
61,"retired","secondary","married","no","yes","yes","no"
53,"entrepreneur","secondary","married","no","no","no","no"
47,"technician","secondary","married","no","yes","no","no"
53,"blue_collar","primary","married","no","yes","no","no"
46,"services","secondary","married","no","yes","no","no"
39,"blue_collar","primary","divorced","no","yes","yes","no"
56,"technician","secondary","divorced","no","yes","no","no"
55,"services","primary","divorced","no","yes","no","no"
44,"management","tertiary","married","no","yes","no","no"
37,"technician","primary","married","no","yes","no","no"
35,"blue_collar","primary","married","no","yes","no","no"
55,"blue_collar","secondary","married","no","yes","no","no"
37,"services","secondary","married","no","yes","no","no"
30,"technician","secondary","single","no","yes","no","no"
37,"blue_collar","primary","married","no","yes","yes","no"
36,"technician","secondary","single","no","yes","no","no"
38,"technician","secondary","married","no","yes","no","no"
41,"administration","primary","divorced","no","yes","no","no"
48,"retired","secondary","married","no","no","yes","no"
55,"services","secondary","divorced","no","yes","no","no"
28,"services","secondary","divorced","no","no","no","no"
54,"services","secondary","married","yes","yes","no","no"
30,"blue_collar","secondary","married","no","no","no","no"
48,"technician","tertiary","married","no","no","no","no"
31,"self_employed","secondary","married","no","yes","no","no"
38,"blue_collar","secondary","married","no","yes","no","no"
37,"blue_collar","secondary","married","no","yes","no","no"
56,"blue_collar","primary","married","no","yes","yes","no"
51,"blue_collar","secondary","married","no","yes","yes","no"
39,"blue_collar","secondary","married","no","yes","yes","no"
51,"blue_collar","primary","married","no","yes","yes","no"
43,"self_employed","secondary","married","no","yes","no","no"
32,"services","secondary","married","no","yes","yes","no"
29,"technician","tertiary","single","no","yes","no","no"
48,"management","tertiary","divorced","no","yes","no","no"
55,"services","primary","married","no","yes","no","no"
53,"blue_collar","secondary","married","no","yes","no","no"
39,"management","tertiary","married","no","yes","no","no"
31,"blue_collar","tertiary","single","no","yes","yes","no"
39,"blue_collar","primary","married","no","yes","no","no"
40,"blue_collar","primary","married","no","yes","no","no"
48,"technician","secondary","married","no","no","no","no"
33,"technician","secondary","divorced","no","yes","yes","no"
40,"technician","secondary","married","no","yes","no","no"
59,"retired","primary","married","no","yes","no","no"
30,"technician","secondary","married","no","yes","no","yes"
31,"management","tertiary","single","no","yes","no","no"
35,"unemployed","secondary","married","no","yes","no","no"
54,"technician","secondary","divorced","no","yes","no","no"
32,"technician","secondary","married","no","yes","yes","no"
32,"administration","tertiary","single","no","yes","no","no"
42,"blue_collar","primary","married","no","yes","no","no"
33,"services","tertiary","married","no","no","no","no"
52,"entrepreneur","tertiary","married","no","yes","yes","no"
52,"services","secondary","married","no","no","no","no"
52,"blue_collar","primary","divorced","yes","yes","no","no"
30,"unemployed","secondary","divorced","no","yes","no","no"
44,"services","secondary","divorced","no","yes","no","no"
35,"administration","secondary","married","no","yes","yes","no"
55,"management","secondary","single","no","yes","no","no"
33,"blue_collar","primary","married","no","yes","no","no"
37,"blue_collar","secondary","single","no","yes","no","no"
42,"technician","secondary","single","no","yes","no","no"
43,"unemployed","secondary","married","no","yes","no","no"
38,"entrepreneur","tertiary","married","no","yes","no","no"
37,"technician","secondary","married","no","yes","yes","no"
31,"student","secondary","single","no","yes","no","no"
41,"management","tertiary","married","no","yes","no","no"
41,"technician","secondary","married","no","yes","yes","no"
29,"student","secondary","single","no","yes","no","no"
38,"administration","secondary","single","no","yes","no","no"
44,"self_employed","tertiary","divorced","no","yes","no","no"
39,"administration","secondary","married","no","yes","no","no"
28,"technician","secondary","single","no","yes","no","no"
33,"blue_collar","secondary","married","no","yes","no","no"
40,"blue_collar","primary","married","no","yes","yes","no"
29,"administration","secondary","married","no","yes","no","no"
32,"administration","tertiary","married","no","yes","no","no"
45,"services","secondary","married","no","yes","no","no"
33,"administration","secondary","single","no","yes","no","no"
34,"blue_collar","secondary","married","no","yes","no","no"
41,"blue_collar","secondary","married","no","yes","no","no"
35,"administration","secondary","single","no","yes","no","no"
40,"technician","secondary","single","no","yes","no","no"
60,"self_employed","primary","married","no","yes","no","no"
47,"services","secondary","divorced","no","yes","no","no"
46,"blue_collar","primary","married","no","yes","no","no"
